word,to_drop,vulgar_gen,violence,insult_gen,insult_polit,insult_sport,disgust,hate_feelings,homophobia,ethrel_discr,sexism,bodyshame,disability
complottismo,1,,,,,,,,,,,,
comunisti,1,,,,,,,,,,,,
comunist*,,,,,1,,,,,,,,
concubina,1,,,,,,,,,,,,
concubinaggio,1,,,,,,,,,,,,
concubinato,1,,,,,,,,,,,,
concubine,1,,,,,,,,,,,,
concubin*,,,,,,,,,,,1,,
conformista,1,,,,,,,,,,,,
conigli,1,,,,,,,,,,,,
coniglietti,1,,,,,,,,,,,,
coniglietto,1,,,,,,,,,,,,
coniglio,1,,,,,,,,,,,,
conigl*,,,,1,,,,,,,,,
contafrottole,,,,1,,,,,,,,,
contapalle,,,,1,,,,,,,,,
contaballe,,,,1,,,,,,,,,
contastorie,,,,1,,,,,,,,,
copulare,1,,,,,,,,,,,,
corbelleria,1,,,,,,,,,,,,
cornuta,1,,,,,,,,,,,,
cornuti,1,,,,,,,,,,,,
cornuto,1,,,,,,,,,,,,
cornut*,,1,,1,,,,,,,,,
corrotto,1,,,,,,,,,,,,
corrott*,,,,1,,,,,,,,,
corruttibile,1,,,,,,,,,,,,
corruttibil*,1,,,,,,,,,,,,
cortigiana,1,,,,,,,,,,,,
cortigiane,1,,,,,,,,,,,,
cortigiani,1,,,,,,,,,,,,
cortigiano,1,,,,,,,,,,,,
cortigian*,1,,,,,,,,,,,,
cosa nostra,1,,,,,,,,,,,,
cosa_nostra,,,,,,1,,,,,,,
cosanostra,,,,,,1,,,,,,,
cosca,,,,,,1,,,,,,,
cospirazionismo,1,,,,,,,,,,,,
credulone,1,,,,,,,,,,,,
credulon*,1,,,,,,,,,,,,
crepare,,,1,,,,,,,,,,
crepa,,,1,,,,,,,,,,
crepate,,,1,,,,,,,,,,
cretinata,1,,,,,,,,,,,,
cretineria,1,,,,,,,,,,,,
cretinismo,1,,,,,,,,,,,,
cretino,1,,,,,,,,,,,,
cretin*,,,,1,,,,,,,,,
criminale,,,,1,,,,,,,,,
criminali,,,,1,,,,,,,,,
criminoso,,,,1,,,,,,,,,
crucco,1,,,,,,,,,,,,
crucc*,,,,,,,,,,1,,,
crumira,1,,,,,,,,,,,,
crumiraggio,1,,,,,,,,,,,,
crumiri,1,,,,,,,,,,,,
crumiro,1,,,,,,,,,,,,
crumir*,,,,,1,,,,,,,,
cuccia,1,,,,,,,,,,,,
cuckold,,1,,1,,,,,,,,,
culatton*,,,,,,,,,1,,,,
